#cores oneway	roundtrip
2 1004	783
3 1041	771
4 1080	729
5 1046	868
6 1168	1016
7 1249	1275
8 1411	1544
9 1505	1966
10 1685	2166
11 1833	2370
12 2011	2652
13 2176	2939
14 2368	3246
15 2583	3560
16 2746	3872
17 2937	4218
18 3160	4494
19 3402	4891
20 3546	5205
21 3743	5674
22 3888	6008
23 4130	6422
24 4327	6783
25 4484	7059
26 4702	7327
27 4858	7606
28 5038	7930
29 5175	8325
30 5457	8570
31 5513	8968
32 5715	9334
33 6015	9720
34 6192	10271
35 6360	10596
36 6508	10980
37 6712	11371
38 6968	11795
39 7124	12188
40 7284	12381
41 7494	12586
42 7660	13014
43 7809	13357
44 7920	13830
45 8160	14150
46 8246	14558
47 8554	15034
48 8831	15334
